Independent cross-check of sharp-kernel census 4-colourability (N<=11),
via exhaustive DSATUR backtracking (lib.coloring.chromatic_colorable),
against the recorded SAT witnesses from lib.satcolor.
======================================================================
n=8 idx=0 members=8 edges=16 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=9 idx=0 members=9 edges=18 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=9 idx=1 members=9 edges=19 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=9 idx=2 members=9 edges=18 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=9 idx=3 members=9 edges=18 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=0 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=1 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=2 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=3 members=10 edges=20 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=4 members=10 edges=20 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=5 members=10 edges=20 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=6 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=7 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=8 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=9 members=10 edges=20 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=10 members=10 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=11 members=10 edges=20 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=12 members=10 edges=20 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=13 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=14 members=10 edges=21 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=10 idx=15 members=10 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=0 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=1 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=2 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=3 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=4 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=5 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=6 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=7 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=8 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=9 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=10 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=11 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=12 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=13 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=14 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=15 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=16 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=17 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=18 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=19 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=20 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=21 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=22 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=23 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=24 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=25 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=26 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=27 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=28 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=29 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=30 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=31 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=32 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=33 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=34 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=35 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=36 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=37 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=38 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=39 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=40 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=41 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=42 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=43 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=44 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=45 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=46 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=47 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=48 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=49 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=50 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=51 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=52 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=53 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=54 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=55 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=56 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=57 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=58 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=59 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=60 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=61 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=62 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=63 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=64 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=65 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=66 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=67 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=68 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=69 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=70 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=71 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=72 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
